estimation_method,fit_method,est_errors,row,col,time_impute,time_fit,size
usvt,lbo,0.02792207847603706,4,2,7.077363821176383e-05,0,16
usvt,lbo,0.26364839470733814,0,12,7.077363821176383e-05,0,16
usvt,lbo,0.5265500677140764,13,5,7.077363821176383e-05,0,16
usvt,lbo,0.45171292223193177,10,3,7.077363821176383e-05,0,16
usvt,lbo,0.6580059230389225,15,8,7.077363821176383e-05,0,16
usvt,lbo,0.2473359706669634,13,13,7.077363821176383e-05,0,16
usvt,lbo,0.33451063104753503,0,14,7.077363821176383e-05,0,16
usvt,lbo,0.3538606404452595,0,13,7.077363821176383e-05,0,16
usvt,lbo,0.02068498028394819,11,9,7.077363821176383e-05,0,16
usvt,lbo,0.21612300833757891,11,12,7.077363821176383e-05,0,16
usvt,lbo,0.24703525165049137,0,1,7.077363821176383e-05,0,16
usvt,lbo,0.13226687970715445,13,6,7.077363821176383e-05,0,16
usvt,lbo,0.28366699091180997,5,1,7.077363821176383e-05,0,16
usvt,lbo,0.332258666717399,3,5,7.077363821176383e-05,0,16
usvt,lbo,0.18774437896681118,11,11,7.077363821176383e-05,0,16
usvt,lbo,0.21176544043466408,15,14,7.077363821176383e-05,0,16
usvt,lbo,0.2503354659849549,8,10,7.077363821176383e-05,0,16
usvt,lbo,0.4664820559162334,3,6,7.077363821176383e-05,0,16
usvt,lbo,0.17346680958284016,2,10,7.077363821176383e-05,0,16
usvt,lbo,0.6204777024469713,15,0,7.077363821176383e-05,0,16
usvt,lbo,0.20345673353165283,12,13,7.077363821176383e-05,0,16
usvt,lbo,0.1678343933158229,6,8,7.077363821176383e-05,0,16
usvt,lbo,0.3910624540345571,12,0,7.077363821176383e-05,0,16
usvt,lbo,0.09946573759657823,7,8,7.077363821176383e-05,0,16
usvt,lbo,0.39288513420252336,15,7,7.077363821176383e-05,0,16
usvt,lbo,0.08840786987979554,7,0,7.077363821176383e-05,0,16
usvt,lbo,0.5276505903191053,11,8,5.197043370718908e-05,0,32
usvt,lbo,0.9594379535082662,29,0,5.197043370718908e-05,0,32
usvt,lbo,0.6361665029487149,26,8,5.197043370718908e-05,0,32
usvt,lbo,0.5481163255884335,14,23,5.197043370718908e-05,0,32
usvt,lbo,0.8335579661351956,11,10,5.197043370718908e-05,0,32
usvt,lbo,0.4998134620415629,3,28,5.197043370718908e-05,0,32
usvt,lbo,0.6250612432792259,12,19,5.197043370718908e-05,0,32
